Date,Open,High,Low,Close,Volume
27-11-2007,770,1050,770,962.9,27294366
28-11-2007,984,990,874,893.9,4581338
29-11-2007,909,914.75,841,884.2,5124121
30-11-2007,890,958,890,921.55,4609762
03-12-2007,939.75,995,922,969.3,2977470
04-12-2007,985,1056,976,1041.45,4849250
05-12-2007,1061,1099.5,1050,1082.45,2848209
06-12-2007,1089,1109.7,1051,1081.3,1749516
07-12-2007,1100,1134,1078,1102.4,2247904
10-12-2007,1110,1110,1061.1,1075.4,1012350
11-12-2007,1081,1089,1041,1047.65,810464
12-12-2007,1032,1065,1016,1036.8,744799
13-12-2007,1040,1150,1030.25,1129.95,3067687
14-12-2007,1139.9,1140,1101.1,1110.5,1070737
17-12-2007,1140,1168,1021.5,1044.25,1404955
18-12-2007,1045,1109.9,1031.55,1074.95,1226984
19-12-2007,1091,1116,1046.3,1066.9,845666
20-12-2007,1083.5,1083.5,1051,1060.2,623288
24-12-2007,1095,1192,1085.25,1156.8,2060892
26-12-2007,1175,1214,1148,1199.9,1467031
27-12-2007,1215,1240,1204,1211.65,977495
28-12-2007,1189.4,1274,1175,1249.1,1164138
31-12-2007,1263.35,1295,1261,1268.8,737249
01-01-2008,1279,1319,1263.7,1296.85,491348
02-01-2008,1310.25,1324,1270,1307.45,703815
03-01-2008,1305,1314.7,1261.15,1275.8,505058
04-01-2008,1278.8,1294.8,1233,1240.35,550795
07-01-2008,1240,1278.9,1215,1227.25,630963
08-01-2008,1240,1255,1185,1204.8,530499
09-01-2008,1200,1210,1151,1180.25,627507
10-01-2008,1185,1199.8,1110,1121.55,438806
11-01-2008,1128,1130,1063,1085.85,616938
14-01-2008,1082.4,1082.4,1031.1,1035.15,835916
15-01-2008,1045.6,1078.7,1036.05,1049.55,830493
16-01-2008,1046,1064,1000,1030.4,816188
17-01-2008,1050,1053.5,1011,1020.9,336003
18-01-2008,1010,1072,974.9,994.6,676854
21-01-2008,995,1005,795.7,825.05,788623
22-01-2008,700,810,660.05,735.55,546161
23-01-2008,760,881.9,760,857,535462
24-01-2008,875,935,812,814.15,511017
25-01-2008,820,883,820,865.7,404045
28-01-2008,835,835,783.2,820.8,467052
29-01-2008,840,860,820.05,840.75,220070
30-01-2008,849.8,864,822.25,830.45,286190
31-01-2008,831,849.9,812.55,837.65,194300
01-02-2008,831.65,852.3,820,825.35,204391
04-02-2008,847.9,872.4,840,856.1,280230
05-02-2008,856,857,830,834.3,162093
06-02-2008,803,824.9,780,807.5,193260
07-02-2008,825,830,792,796.25,212932
08-02-2008,810,830,765.15,784.05,285025
11-02-2008,785,785,695,711.2,223955
12-02-2008,725,734.95,655.6,681.3,303409
13-02-2008,815.9,815.9,664,670.95,214900
14-02-2008,680,714,680,709.8,269032
15-02-2008,700,763.7,681.25,728.75,353049
18-02-2008,735,775,735,771.6,342580
19-02-2008,779,786.9,760.2,763.9,137412
20-02-2008,750,760,720,732.1,197489
21-02-2008,762,762,730.1,737.6,125558
22-02-2008,723,737,715,724,81070
25-02-2008,725.05,758.9,702.3,707.65,152803
26-02-2008,725,744,713,735.8,251269
27-02-2008,749.7,783.4,741,746.4,305320
28-02-2008,740,754.9,725.05,737.75,112491
29-02-2008,738,761,725.4,735.65,203872
03-03-2008,725,725,692.3,699.25,182510
04-03-2008,705,708.95,642,669.25,400996
05-03-2008,668,672,636,640.9,263263
07-03-2008,630,630,577,609.75,452949
10-03-2008,600,610,508.15,601.15,235966
11-03-2008,593,635.75,575,623.7,226830
12-03-2008,640,649.95,591,602.9,210739
13-03-2008,585,600,562.05,566.3,165515
14-03-2008,569,577,554.05,561,157189
17-03-2008,549,549,507,511.45,201577
18-03-2008,505,525,490,502.4,257617
19-03-2008,530,530,495,497.75,196021
24-03-2008,502,505.9,465,469.2,542915
25-03-2008,475,505,465.05,497.15,746747
26-03-2008,502,522,490.25,504.05,278415
27-03-2008,496.1,521,486,516,359725
28-03-2008,515,619.2,515,619.2,1546339
31-03-2008,625,673.4,570,578.75,2134980
01-04-2008,585,617,584.75,592.2,728839
02-04-2008,623.8,633.4,601,608.35,867551
03-04-2008,611,621.4,592.1,602.3,780026
04-04-2008,614,614,585,593.2,386898
07-04-2008,595,605.3,570,593.4,466172
08-04-2008,625,625,585.1,589.65,217730
09-04-2008,580.5,623,575.15,597.75,507422
10-04-2008,615,615,586,608.6,495019
11-04-2008,610,620,605,610.2,301522
15-04-2008,605,650,600,642.55,732463
16-04-2008,657,662,632,637.4,440549
17-04-2008,648.8,659.4,621.05,626.35,442496
21-04-2008,640,654.95,633.1,645.15,257175
22-04-2008,640,673.4,638.15,665.85,574697
23-04-2008,675,677.9,652.4,666.7,362552
24-04-2008,668,677.85,658.1,665.25,255828
25-04-2008,670,718,659.1,712.15,1510614
28-04-2008,725,741.1,703,736.45,1072156
29-04-2008,738.25,748,711.1,740.6,600573
30-04-2008,740,774,715,760.15,731082
02-05-2008,766.25,788,763.65,766.65,607475
05-05-2008,681.7,781.7,681.7,754.4,248543
06-05-2008,730,767.9,725.1,757.9,418643
07-05-2008,762,774.5,745,768.5,295381
08-05-2008,760,785,752,781.5,422630
09-05-2008,770.45,803.75,770,783.75,657740
12-05-2008,719.2,814.8,719.2,807.55,1245745
13-05-2008,818.4,827.5,786.15,792.85,469124
14-05-2008,790,802.25,782,789.2,168459
15-05-2008,795,808.9,785,790.85,139664
16-05-2008,795,800,771.2,775.6,184836
20-05-2008,776,904.7,770,884.05,3561137
